City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
253,Perth,AU,-31.9333,115.8333,21.1,72,0,4.63,clear sky
254,Kalmunai,LK,7.4167,81.8167,24.36,85,100,2.51,overcast clouds
255,Bairnsdale,AU,-37.8333,147.6167,18.36,87,91,1.34,overcast clouds
256,Dudinka,RU,69.4058,86.1778,-22.99,92,100,6.97,overcast clouds
257,Mattru,SL,7.6244,-11.8332,25.95,72,89,2.15,overcast clouds
258,Tasiilaq,GL,65.6145,-37.6368,-15.91,54,0,4.37,clear sky
259,Malakal,SS,9.5334,31.6605,25.41,16,0,3.39,clear sky
260,Fairlie,GB,55.756,-4.8556,5.95,87,100,3.13,overcast clouds
261,Yabrud,SY,33.9674,36.6574,-4.98,71,17,1.44,few clouds
262,Lata,PT,40.1629,-8.3327,9.95,75,30,2.83,scattered clouds
263,Beyneu,KZ,45.3167,55.2,-7.43,71,6,6.47,clear sky
264,Vagur,FO,61.4732,-6.8119,3.64,62,99,16.93,light rain
265,Ryki,PL,51.6257,21.9327,-4.97,49,13,2.42,few clouds
266,Merrill,US,45.1805,-89.6835,8.43,56,0,3.6,thunderstorm
267,Tuy Hoa,VN,13.0833,109.3,21.97,93,98,0.7,overcast clouds
268,Port Shepstone,ZA,-30.7414,30.455,21.83,90,100,7.79,light rain
269,Alihe,CN,50.5667,123.7167,-28.17,99,45,1.25,scattered clouds
270,Gamboma,CG,-1.8764,15.8644,25.68,63,83,1.95,broken clouds
271,Kankakee,US,41.15,-87.8667,5.64,73,0,2.06,clear sky
272,Goba,ET,7.0167,39.9833,10.58,50,7,1.46,clear sky
273,Lucea,JM,18.451,-78.1736,28.81,74,39,7.28,scattered clouds
274,Castro,BR,-24.7911,-50.0119,24.79,64,9,0.87,clear sky
275,Kahului,US,20.8947,-156.47,26.02,56,40,8.23,scattered clouds
276,Lydenburg,ZA,-25.0978,30.4597,16.81,96,98,0.72,overcast clouds
277,Sangar,RU,63.9242,127.4739,-45.02,98,52,1.3,broken clouds
278,Maxixe,MZ,-23.8597,35.3472,26.02,88,26,3.68,scattered clouds
279,Bredasdorp,ZA,-34.5322,20.0403,19.75,78,2,6.72,clear sky
280,Gamba,GA,-2.65,10.0,26.08,88,91,2.44,light rain
281,Fortuna,US,40.5982,-124.1573,13.14,85,75,0.45,broken clouds
282,Arshan,RU,46.2732,44.22,-10.79,85,58,7.0,broken clouds
283,Bend,US,44.0582,-121.3153,6.32,42,0,0.89,clear sky
284,Zabaykalsk,RU,49.6333,117.3167,-25.48,100,83,2.09,broken clouds
285,Shimoda,JP,34.6667,138.95,8.11,64,97,6.12,overcast clouds
286,Rocha,UY,-34.4833,-54.3333,25.79,59,98,8.53,overcast clouds
287,Bambous Virieux,MU,-20.3428,57.7575,26.23,83,75,2.57,light rain
288,Gallup,US,35.5281,-108.7426,6.91,41,0,4.63,clear sky
289,Oranjestad,AW,12.524,-70.027,29.97,75,40,10.29,scattered clouds
290,Sambava,MG,-14.2667,50.1667,24.14,90,42,3.44,light rain
291,Umm Lajj,SA,25.0213,37.2685,17.93,49,100,7.74,overcast clouds
292,Udachnyy,RU,66.4167,112.4,-37.53,65,100,2.07,overcast clouds
293,Poum,NC,-20.2333,164.0167,27.94,78,100,5.39,moderate rain
294,Polunochnoye,RU,60.8697,60.4153,-13.98,92,39,2.69,scattered clouds
295,Hofn,IS,64.2539,-15.2082,-4.3,62,88,4.74,overcast clouds
296,Port Blair,IN,11.6667,92.75,24.12,73,76,3.43,broken clouds
297,Zhezkazgan,KZ,47.8043,67.7144,-17.24,93,91,7.19,overcast clouds
298,Cidreira,BR,-30.1811,-50.2056,25.73,79,0,7.49,clear sky
299,Cabedelo,BR,-6.9811,-34.8339,28.37,76,100,5.87,overcast clouds
300,Iberia,US,29.9502,-91.7507,22.98,88,100,8.23,moderate rain
301,Telemaco Borba,BR,-24.3239,-50.6156,24.53,65,72,0.33,broken clouds
302,Marshfield,US,44.6689,-90.1718,6.49,56,0,3.6,clear sky
303,Lunel,FR,43.6778,4.1361,3.95,70,20,1.54,few clouds
304,Mwene-Ditu,CD,-7.0,23.45,18.19,94,100,1.73,overcast clouds
305,Cam Ranh,VN,11.9214,109.1591,23.98,88,40,0.51,scattered clouds
306,Luderitz,NA,-26.6481,15.1594,17.44,96,6,6.3,clear sky
307,Sitka,US,57.0531,-135.33,2.94,75,40,3.6,scattered clouds
308,Champerico,GT,14.3,-91.9167,35.3,57,0,6.25,clear sky
309,Koumac,NC,-20.5667,164.2833,27.29,82,100,3.11,overcast clouds
310,Ostrovnoy,RU,68.0531,39.5131,-0.42,81,100,17.18,overcast clouds
311,Nuuk,GL,64.1835,-51.7216,-2.66,74,100,8.23,snow
312,Sao Domingos,BR,-13.3983,-46.3183,27.24,52,76,1.41,broken clouds
313,Nuevo Progreso,MX,23.1667,-97.95,22.62,68,55,8.37,broken clouds
314,Boda,CF,4.3189,17.4695,25.77,16,6,1.2,clear sky
315,Pavilosta,LV,56.8879,21.1859,1.95,83,74,8.77,broken clouds
316,Sassandra,CI,4.95,-6.0833,25.42,90,8,1.37,clear sky
317,Dillon,US,34.4166,-79.3712,24.19,50,99,1.84,overcast clouds
318,Sistranda,NO,63.7256,8.834,6.98,64,100,7.92,overcast clouds
319,Labuhan,ID,-6.8844,112.2051,24.76,89,100,4.5,overcast clouds
320,Ayan,RU,56.45,138.1667,-29.28,83,73,3.11,broken clouds
321,Kanniyakumari,IN,8.0833,77.5667,24.54,78,54,6.03,broken clouds
322,Juigalpa,NI,12.1063,-85.3645,29.95,62,40,2.06,scattered clouds
323,Jacareacanga,BR,-6.2222,-57.7528,26.63,93,30,1.35,scattered clouds
324,Pringsewu,ID,-5.3582,104.9744,21.88,91,94,0.89,overcast clouds
325,Ashdod,IL,31.8167,34.65,8.16,86,50,1.77,scattered clouds
326,Provideniya,RU,64.3833,-173.3,-20.94,71,100,5.0,overcast clouds
327,Moron,AR,-34.6534,-58.6198,29.94,18,10,2.39,clear sky
328,Turukhansk,RU,65.8167,87.9833,-21.97,98,100,2.47,overcast clouds
329,Hobyo,SO,5.3505,48.5268,24.61,86,5,5.27,clear sky
330,Dezhou,CN,37.4486,116.2925,1.63,37,100,2.72,overcast clouds
331,Sydney Mines,CA,46.2367,-60.2177,0.99,83,100,8.23,overcast clouds
332,Ilulissat,GL,69.2167,-51.1,-21.99,54,0,2.57,clear sky
333,Wanxian,CN,30.8039,108.3897,10.18,85,100,1.2,overcast clouds
334,Chapleau,CA,47.8405,-83.4034,3.05,70,40,3.6,scattered clouds
335,Krasnoye,UA,49.9145,24.6134,-12.07,96,10,1.7,clear sky
336,Barabai,ID,-2.5833,115.3833,22.49,98,100,0.87,moderate rain
337,Awbari,LY,26.5921,12.7805,17.1,15,47,9.28,scattered clouds
338,Pangoa,PE,-12.1167,-73.0,24.41,93,92,0.38,overcast clouds
339,Saint Simons,US,31.1352,-81.3901,24.03,50,0,4.12,clear sky
340,Ahipara,NZ,-35.1667,173.1667,19.86,71,7,4.11,clear sky
341,Grand Gaube,MU,-20.0064,57.6608,26.32,78,12,1.79,light rain
342,Zaysan,KZ,47.4667,84.8667,-11.95,89,100,0.99,overcast clouds
343,Goure,NE,13.9835,10.2704,20.83,16,57,4.78,broken clouds
344,Semey,KZ,50.4111,80.2275,-13.45,93,100,2.4,overcast clouds
345,Andenes,NO,69.3143,16.1194,4.99,81,75,16.98,moderate rain
